iter	Passed	Remaining
0	1	173
1	3	153
2	4	145
3	5	135
4	6	132
5	8	129
6	9	126
7	10	126
8	12	124
9	13	123
10	15	123
11	16	121
12	17	119
13	19	118
14	20	116
15	21	114
16	23	112
17	24	111
18	25	109
19	26	107
20	28	106
21	29	105
22	30	103
23	32	102
24	33	101
25	35	100
26	36	98
27	37	97
28	39	95
29	40	94
30	41	93
31	43	92
32	45	91
33	46	90
34	48	89
35	49	88
36	51	86
37	52	85
38	54	84
39	55	83
40	56	81
41	57	79
42	58	77
43	60	76
44	61	74
45	62	73
46	63	72
47	65	70
48	66	69
49	67	67
50	69	66
51	70	65
52	71	63
53	73	62
54	74	60
55	75	59
56	76	57
57	78	56
58	79	55
59	80	53
60	82	52
61	83	51
62	85	49
63	86	48
64	87	47
65	88	45
66	90	44
67	91	43
68	93	41
69	94	40
70	96	39
71	97	38
72	99	36
73	100	35
74	101	33
75	103	32
76	104	31
77	105	29
78	107	28
79	108	27
80	109	25
81	111	24
82	112	23
83	113	21
84	115	20
85	116	18
86	117	17
87	119	16
88	120	14
89	122	13
90	124	12
91	125	10
92	127	9
93	128	8
94	129	6
95	131	5
96	132	4
97	133	2
98	135	1
99	136	0
